LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C2086358,,,,,,-,10,,,CRCW060360R4FKEAHP,VISHAY,10,0.0469,0.47,C2086358,0603,10,10,5000,4480,In Stock,,333mW Thick Film Resistor 75V ±1% ±100ppm/? 60.4? 0603 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C2086358.html
C17477,,,,,,-,100,,,0805W8F0000T5E,UNI-ROYAL,100,0.0017,0.17,C17477,0805,100,100,5000,4869200,In Stock,,125mW Thick Film Resistor 150V ±800ppm/? ±1% 0? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C17477.html
C17477,,,,,,-,100,,,0805W8F0000T5E,UNI-ROYAL,100,0.0017,0.17,C17477,0805,100,100,5000,4869200,In Stock,,125mW Thick Film Resistor 150V ±800ppm/? ±1% 0? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C17477.html
C60816,,,,,,-,100,,,RC0805FR-074K7L,YAGEO,100,0.0022,0.22,C60816,0805,100,100,5000,662300,In Stock,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 4.7k? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C60816.html
C95781,,,,,,-,100,,,RC0805FR-071KL,YAGEO,100,0.0019,0.19,C95781,0805,100,100,5000,454800,In Stock,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C95781.html
C114567,,,,,,-,100,,,RC0805FR-07200RL,YAGEO,100,0.0021,0.21,C114567,0805,100,100,5000,260000,In Stock,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 200? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C114567.html
C860095,,,,,,-,20,,,RT0603BRB0712K1L,YAGEO,20,0.1173,2.35,C860095,0603,5,5,5000,3050,In Stock,,100mW Thin Film Resistor 75V ±0.1% ±10ppm/? 12.1k? 0603 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C860095.html
C17590,,,,,,-,100,,,0805W8F2700T5E,UNI-ROYAL,100,0.0019,0.19,C17590,0805,100,100,5000,87800,In Stock,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 270? 0805 Chip Resistor - Surface Mount ROHS,Exact Matches,https://www.lcsc.com/product-detail/C17590.html
C730141,,,,,,-,10,,,STM32H723VET6,ST,10,5.0212,50.21,C730141,LQFP-100(14x14),1,1,90,424,In Stock,,ARM Cortex-M Series 550MHz LQFP-100(14x14) Microcontrollers (MCU/MPU/SOC) ROHS,Exact Matches,https://www.lcsc.com/product-detail/C730141.html
C118837,,,,,,-,3,,,TCAN1042DRQ1,TI,3,0.5442,1.63,C118837,SOIC-8,1,1,2500,3799,In Stock,,5Mbps SOIC-8 CAN Transceivers ROHS,Exact Matches,https://www.lcsc.com/product-detail/C118837.html
C15771,,,,,,-,20,,,"PESD1CAN,215",Nexperia,20,0.0538,1.08,C15771,SOT-23,10,10,3000,58410,In Stock,,3A@8/20us 70V 200W@8/20us 27.8V Bidirectional 24V SOT-23 ESD and Surge Protection (TVS/ESD) ROHS,Exact Matches,https://www.lcsc.com/product-detail/C15771.html
C621424,,,,,,-,10,,,LAN8742A-CZ-TR,MICROCHIP,10,1.5161,15.16,C621424,QFN-24-EP(4x4),1,1,5000,4044,In Stock,,1 RMII QFN-24-EP(4x4) Ethernet Transceivers ROHS,Exact Matches,https://www.lcsc.com/product-detail/C621424.html
C1858395,,,,,,-,10,,,LMR36520FADDAR,TI,10,0.7434,7.43,C1858395,SO-8,1,1,2500,360,In Stock,,Buck Adjustable 4.2V~65V 2A 1V~28V SO-8 DC-DC Converters ROHS,Exact Matches,https://www.lcsc.com/product-detail/C1858395.html
C6186,,,,,,-,10,,,AMS1117-3.3,Advanced Monolithic Systems,10,0.1690,1.69,C6186,SOT-223,5,5,2500,1800345,In Stock,,"72dB@(120Hz) 1A Fixed 3.3V Positive 16V SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",Exact Matches,https://www.lcsc.com/product-detail/C6186.html
C5137262,,,,,,-,1,,,SX3M25.000E20F30THN,SCTF,1,0.4787,0.48,C5137262,SMD3225-4P,1,1,3000,19743,In Stock,,1.2V ±20ppm 2mA ±30ppm 25MHz CMOS SMD3225-4P Crystal Oscillators ROHS,Exact Matches,https://www.lcsc.com/product-detail/C5137262.html
C32346,,,,,,-,10,,,Q13FC13500004,EPSON,10,0.1898,1.90,C32346,SMD3215-2P,5,5,3000,708190,In Stock,,32.768kHz Crystal Oscillator 12.5pF ±20ppm SMD3215-2P Crystals ROHS,Exact Matches,https://www.lcsc.com/product-detail/C32346.html
C255914,,,,,,-,10,,,X1E0000210624,EPSON,10,0.2261,2.26,C255914,SMD3225-4P,5,5,2000,11945,In Stock,,20MHz Crystal Oscillator 12pF ±10ppm ±18ppm SMD3225-4P Crystals ROHS,Exact Matches,https://www.lcsc.com/product-detail/C255914.html
C141880,,,,,,-,20,,,D-DMR009PM-D002,Ckmtw,20,0.2922,5.84,C141880,"Through Hole,Right Angle",1,1,100,24140,In Stock,,"9P Male Standard D-Sub Right Angle 2 3A -50?~+105? Through Hole,Right Angle D-Sub / VGA Connectors ROHS",Exact Matches,https://www.lcsc.com/product-detail/C141880.html
